CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;4.02.06;Equivalência patrimonial sobre outros resultados abrangentes;263899.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;4.03;Resultado Abrangente do Período;3785629.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;4.03;Resultado Abrangente do Período;3039454.0000000000;S
64.904.295/0001-03;2023-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-03-01;2022-02-28;4.01;Lucro Líquido do Período;477784.0000000000;S
64.904.295/0001-03;2023-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-03-01;2023-02-28;4.01;Lucro Líquido do Período;353421.0000000000;S
64.904.295/0001-03;2023-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-03-01;2022-02-28;4.02;Outros Resultados Abrangentes;-155124.0000000000;S
64.904.295/0001-03;2023-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-03-01;2023-02-28;4.02;Outros Resultados Abrangentes;-7452.0000000000;S
64.904.295/0001-03;2023-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2021-03-01;2022-02-28;4.03;Resultado Abrangente do Período;322660.0000000000;S
64.904.295/0001-03;2023-02-28;1;CAMIL ALIMENTOS S.A.;024228;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2022-03-01;2023-02-28;4.03;Resultado Abrangente do Período;345969.0000000000;S
71.476.527/0001-35;2023-03-31;1;CONSTRUTORA TENDA S.A.;021148;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2022-01-01;2022-12-31;4.01;Lucro Líquido do Período;-547304.0000000000;S
71.476.527/0001-35;2023-03-31;1;CONSTRUTORA TENDA S.A.;021148;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2023-01-01;2023-03-31;4.01;Lucro Líquido do Período;-41902.0000000000;S
71.476.527/0001-35;2023-03-31;1;CONSTRUTORA TENDA S.A.;021148;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2022-01-01;2022-12-31;4.02;Outros Resultados Abrangentes;24764.0000000000;S
71.476.527/0001-35;2023-03-31;1;CONSTRUTORA TENDA S.A.;021148;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2023-01-01;2023-03-31;4.02;Outros Resultados Abrangentes;0.0000000000;S
71.476.527/0001-35;2023-03-31;1;CONSTRUTORA TENDA S.A.;021148;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2022-01-01;2022-12-31;4.02.01;Efeito dos Instrumentos de Hedge de Fluxo de Caixa;24764.0000000000;N
71.476.527/0001-35;2023-03-31;1;CONSTRUTORA TENDA S.A.;021148;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2023-01-01;2023-03-31;4.02.01;Efeito dos Instrumentos de Hedge de Fluxo de Caixa;0.0000000000;N
71.476.527/0001-35;2023-03-31;1;CONSTRUTORA TENDA S.A.;021148;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;PENÚLTIMO;2022-01-01;2022-12-31;4.03;Resultado Abrangente do Período;-522540.0000000000;S
71.476.527/0001-35;2023-03-31;1;CONSTRUTORA TENDA S.A.;021148;DF Individual - Demonstração de Resultado Abrangente;REAL;MIL;ÚLTIMO;2023-01-01;2023-03-31;4.03;Resultado Abrangente do Período;-41902.0000000000;S
