CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;GRUPO_DFP;MOEDA;ESCALA_MOEDA;ORDEM_EXERC;DT_INI_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA;ST_CONTA_FIXA
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.02.02;Estaduais;3260520.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.02.02;Estaduais;2559977.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.02.03;Municipais;16880.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.02.03;Municipais;30471.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03;Remuneração de Capitais de Terceiros;6841182.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03;Remuneração de Capitais de Terceiros;6990419.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03.01;Juros;1812955.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03.01;Juros;3938084.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03.02;Aluguéis;0.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03.02;Aluguéis;0.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03.03;Outras;5028227.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03.03;Outras;3052335.0000000000;S
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03.03.01;Despesas financeiras;0.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03.03.01;Despesas financeiras;0.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;PENÚLTIMO;2021-04-01;2022-03-31;7.08.03.03.02;Perda com variações cambiais;1411786.0000000000;N
33.453.598/0001-23;2023-03-31;1;RAÍZEN S.A.;025917;DF Consolidado - Demonstração de Valor Adicionado;REAL;MIL;ÚLTIMO;2022-04-01;2023-03-31;7.08.03.03.02;Perda com variações cambiais;1581901.0000000000;N
